,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
Heat,8.3,8.3,8.3,8.3,8.1,8.3,8.4,8.3,8.3,8.2,7.9,7.6,8.0,7.8,7.9,8.0,8.3,8.2
L.A. Confidential,8.2,8.2,8.3,8.3,8.2,8.3,8.4,8.3,8.3,8.2,8.0,7.3,8.0,8.0,8.1,8.2,8.4,8.2
Metropolis,8.3,8.3,8.4,8.2,8.3,8.3,8.4,8.4,8.2,8.3,8.3,8.1,8.2,8.3,8.4,8.1,8.4,8.2
A Separation,8.3,8.2,8.5,8.3,8.1,8.3,8.6,8.5,8.3,8.1,8.2,6.3,8.2,8.2,8.1,7.4,8.3,8.3
Incendies,8.3,8.2,8.5,8.2,8.1,8.2,8.6,8.4,8.2,8.1,8.4,6.2,8.6,8.4,8.3,7.2,8.1,8.2
Die Hard,8.2,8.3,8.2,8.3,8.3,8.3,8.3,8.2,8.3,8.3,7.9,7.7,7.9,7.9,8.1,8.5,8.5,8.2
Snatch,8.3,8.3,8.3,8.3,8.0,8.3,8.3,8.3,8.3,8.0,8.1,8.2,8.1,8.1,7.9,7.4,8.2,8.3
Hamilton,8.3,8.0,8.6,8.3,7.8,8.1,7.8,8.4,8.1,7.6,8.9,8.1,8.9,8.9,8.9,7.0,8.4,8.1
Bicycle Thieves,8.3,8.2,8.3,8.2,8.3,8.3,8.4,8.3,8.3,8.3,8.2,7.5,8.2,8.2,8.3,7.9,8.3,8.2
Indiana Jones and the Last Crusade,8.2,8.3,8.2,8.3,8.1,8.3,8.4,8.2,8.3,8.1,8.1,7.8,8.0,8.1,8.1,8.2,8.4,8.2
1917,8.2,8.4,8.4,8.2,8.1,8.2,8.4,8.4,8.2,8.1,8.3,8.4,8.4,8.2,8.2,8.0,8.3,8.2
Like Stars on Earth,8.3,8.1,8.6,8.3,7.4,8.3,8.2,8.6,8.3,7.4,8.3,6.8,8.5,8.3,7.7,6.2,7.8,8.2
Downfall,8.2,8.1,8.3,8.2,8.3,8.3,8.3,8.3,8.2,8.3,8.1,7.2,8.1,8.1,8.2,8.0,8.4,8.2
For a Few Dollars More,8.2,8.4,8.3,8.3,8.1,8.3,8.4,8.4,8.3,8.1,7.9,8.4,8.1,8.0,7.8,8.0,8.2,8.2
Batman Begins,8.2,8.1,8.3,8.3,8.1,8.3,8.2,8.3,8.3,8.1,8.1,7.8,8.1,8.0,8.0,8.0,8.3,8.2
Dangal,8.3,8.2,8.5,8.2,7.7,8.3,8.3,8.5,8.2,7.7,8.4,6.6,8.6,8.4,8.0,6.4,8.1,8.2
The Kid,8.3,8.2,8.3,8.2,8.3,8.2,8.2,8.3,8.2,8.2,8.4,8.0,8.4,8.4,8.4,7.9,8.2,8.2
Some Like It Hot,8.2,8.2,8.3,8.2,8.3,8.2,8.5,8.3,8.1,8.3,8.4,7.1,8.4,8.4,8.5,8.1,8.3,8.2
Spider-Man: No Way Home,8.3,8.6,8.4,8.1,7.9,8.1,8.6,8.4,8.1,7.8,8.4,8.4,8.6,8.3,8.3,7.8,8.4,8.0
The Father,8.2,8.2,8.4,8.2,8.1,8.2,8.3,8.4,8.2,8.0,8.3,7.4,8.4,8.3,8.3,7.8,8.2,8.2
All About Eve,8.2,7.8,8.2,8.2,8.4,8.2,8.3,8.2,8.1,8.3,8.5,7.2,8.4,8.4,8.7,7.8,8.5,8.2
Green Book,8.2,8.2,8.3,8.1,8.2,8.2,8.3,8.2,8.1,8.1,8.4,7.5,8.4,8.3,8.4,7.8,8.0,8.2
The Wolf of Wall Street,8.2,8.5,8.4,8.2,7.7,8.2,8.6,8.5,8.2,7.8,7.8,7.5,7.9,7.8,7.5,7.8,8.1,8.1
Judgment at Nuremberg,8.3,7.4,8.4,8.3,8.3,8.3,8.2,8.4,8.3,8.2,8.4,5.9,8.5,8.3,8.5,7.9,8.4,8.2
Ran,8.2,8.5,8.4,8.2,8.2,8.2,8.8,8.4,8.2,8.2,8.0,7.8,8.1,7.9,8.2,7.7,8.4,8.1
Unforgiven,8.2,8.3,8.1,8.2,8.3,8.2,8.5,8.1,8.2,8.3,7.7,7.3,7.7,7.7,7.9,8.2,8.4,8.1
Casino,8.2,8.4,8.3,8.2,8.0,8.2,8.5,8.3,8.3,8.0,7.9,8.0,8.1,7.9,7.8,8.0,8.2,8.2
Pan's Labyrinth,8.2,8.4,8.2,8.2,8.1,8.2,8.5,8.2,8.2,8.1,8.3,7.9,8.2,8.3,8.2,7.9,8.4,8.1
There Will Be Blood,8.2,8.6,8.5,8.2,7.8,8.2,8.7,8.5,8.2,7.8,7.9,8.0,8.2,7.9,7.6,7.8,8.4,8.0
The Sixth Sense,8.2,8.3,8.2,8.1,8.2,8.2,8.3,8.2,8.1,8.2,8.2,7.9,8.2,8.2,8.5,8.1,8.2,8.1
The Truman Show,8.2,8.7,8.4,8.2,7.8,8.2,8.7,8.4,8.2,7.8,8.1,8.3,8.3,8.1,7.8,8.0,8.1,8.2
A Beautiful Mind,8.2,8.0,8.4,8.2,7.8,8.2,8.2,8.4,8.2,7.8,8.3,7.7,8.5,8.3,8.0,7.7,8.0,8.2
Monty Python and the Holy Grail,8.2,8.4,8.2,8.2,8.2,8.2,8.4,8.2,8.2,8.2,8.2,8.3,8.1,8.2,8.2,7.8,8.4,8.1
Yojimbo,8.2,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,7.9,7.2,7.8,7.9,8.2,7.7,8.5,8.1
The Treasure of the Sierra Madre,8.2,7.8,8.2,8.2,8.3,8.2,8.1,8.3,8.2,8.3,7.9,6.1,7.8,7.8,8.2,8.1,8.4,8.1
